Znacznik,CZAS,Grupa 1 - Pole 0,CZAS,Grupa 10 - Pole 2,CZAS,Grupa 11 - Pole 1,,,,,,,,,,,,,,,,,,,
,ZAPISU,Engine Speed - (G28),ZAPISU,Boost Pressure - (actual),ZAPISU,Boost Pressure - (specified),,,,,,,,,,,,,,,,,,,
,, /min,, mbar,, mbar,,,,,,,,,,,,,,,,,,,
,58.08,1281,58.17,1091.4,58.00,1091.4,,,,,,,,,,,,,,,,,,,
,58.35,1218,58.44,1071.0,58.26,1091.4,,,,,,,,,,,,,,,,,,,
,58.62,1155,58.71,1060.8,58.53,1091.4,,,,,,,,,,,,,,,,,,,
,58.89,1134,58.97,1060.8,58.80,1091.4,,,,,,,,,,,,,,,,,,,
,59.15,1134,59.24,1050.6,59.05,1091.4,,,,,,,,,,,,,,,,,,,
,59.42,1197,59.50,1050.6,59.33,1091.4,,,,,,,,,,,,,,,,,,,
,59.67,1281,59.75,1040.4,59.59,1091.4,,,,,,,,,,,,,,,,,,,
,59.92,1344,60.00,1050.6,59.84,1091.4,,,,,,,,,,,,,,,,,,,
,60.18,1428,60.28,1060.8,60.09,1091.4,,,,,,,,,,,,,,,,,,,
,60.45,1428,60.53,1081.2,60.36,1091.4,,,,,,,,,,,,,,,,,,,
,60.69,1386,60.78,1091.4,60.61,1091.4,,,,,,,,,,,,,,,,,,,
,60.96,1365,61.04,1091.4,60.87,1091.4,,,,,,,,,,,,,,,,,,,
,61.22,1386,61.31,1101.6,61.13,1162.8,,,,,,,,,,,,,,,,,,,
,61.48,1386,61.56,1142.4,61.40,1336.2,,,,,,,,,,,,,,,,,,,
,61.73,1365,61.80,1203.6,61.65,1346.4,,,,,,,,,,,,,,,,,,,
,61.98,1470,62.05,1264.8,61.90,1366.8,,,,,,,,,,,,,,,,,,,
,62.22,1785,62.31,1346.4,62.14,1479.0,,,,,,,,,,,,,,,,,,,
,62.50,2121,62.58,1550.4,62.40,1662.6,,,,,,,,,,,,,,,,,,,
,62.75,2247,62.83,1458.6,62.66,1774.8,,,,,,,,,,,,,,,,,,,
,63.01,2331,63.09,1285.2,62.92,1774.8,,,,,,,,,,,,,,,,,,,
,63.28,2394,63.36,1203.6,63.18,1785.0,,,,,,,,,,,,,,,,,,,
,63.52,2478,63.62,1162.8,63.44,1795.2,,,,,,,,,,,,,,,,,,,
,63.77,2520,63.87,1152.6,63.69,1815.6,,,,,,,,,,,,,,,,,,,
,64.05,2604,64.14,1152.6,63.97,1805.4,,,,,,,,,,,,,,,,,,,
,64.30,2667,64.40,1152.6,64.22,1805.4,,,,,,,,,,,,,,,,,,,
,64.59,2751,64.68,1152.6,64.50,1795.2,,,,,,,,,,,,,,,,,,,
,64.84,2793,64.93,1162.8,64.76,1795.2,,,,,,,,,,,,,,,,,,,
,65.11,2856,65.19,1173.0,65.02,1764.6,,,,,,,,,,,,,,,,,,,
,65.36,2856,65.44,1173.0,65.27,1754.4,,,,,,,,,,,,,,,,,,,
,65.61,2877,65.69,1183.2,65.53,1723.8,,,,,,,,,,,,,,,,,,,
,65.86,1953,65.95,1142.4,65.78,1652.4,,,,,,,,,,,,,,,,,,,
,66.14,1890,66.22,1234.2,66.04,1642.2,,,,,,,,,,,,,,,,,,,
,66.40,1911,66.48,1407.6,66.31,1611.6,,,,,,,,,,,,,,,,,,,
,66.64,1848,66.73,1479.0,66.56,1101.6,,,,,,,,,,,,,,,,,,,
,66.90,1848,66.99,1387.2,66.81,1101.6,,,,,,,,,,,,,,,,,,,
,67.17,1785,67.25,1315.8,67.08,1101.6,,,,,,,,,,,,,,,,,,,
,67.42,1722,67.50,1275.0,67.33,1091.4,,,,,,,,,,,,,,,,,,,
,67.68,1638,67.77,1224.0,67.59,1091.4,,,,,,,,,,,,,,,,,,,
,67.95,1554,68.03,1193.4,67.86,1091.4,,,,,,,,,,,,,,,,,,,
,68.22,1449,68.31,1162.8,68.11,1091.4,,,,,,,,,,,,,,,,,,,
,68.48,1302,68.56,1142.4,68.40,1091.4,,,,,,,,,,,,,,,,,,,
,68.73,1155,68.81,1111.8,68.64,1091.4,,,,,,,,,,,,,,,,,,,
